code14,name14,population04_hcp,source
06.117.01.03.,Berrechid (Mun.),92822,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.01.05.,Deroua (Mun.),21794,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.01.07.,El Gara (Mun.),19099,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.01.09.,Had Soualem (Mun.),18626,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.01.11.,Oulad Abbou (Mun.),10748,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.01.13.,Sidi Rahal Chatai (Mun.),13687,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.01.,Ben Maachou,8680,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.11.,Laghnimyine,16191,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.13.,Lahsasna,9495,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.25.,Sahel Oulad H'Riz,32769,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.27.,Sidi Abdelkhaleq,5933,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.29.,Sidi El Mekki,8959,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.05.33.,Soualem Trifiya,20598,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
