app_code,app_name,code14,name14,weight,evidence
1651103052,CR-Azzinate,01.511.03.05.,Sebt Azzinate,,"renamed; GeoNames point inside; population 4,895 -> 5,153"
0611105052,CR-Cherrat,06.111.05.05.,Charrate,,"spelling; GeoNames point inside; population 8,265 -> 9,754"
0646103052,CR-Lahlaf M Zab,06.461.03.02.,Ain Dorbane-Lahlaf,,"GeoNames point inside; population 7,160 -> 8,120. Ain Dorbane (12,548 in 2004) is left unlinked: adding it would halve the commune, and its GeoNames point falls in Ben Ahmed"
0646109012,CR-Ain Nzagh,06.461.09.14.,Mzamza Janoubia,,"merged with Tamadroust; both GeoNames points inside; population 11,504 + 7,609 -> 19,576"
0646109292,CR-Tamadroust,06.461.09.14.,Mzamza Janoubia,,"merged with Ain Nzagh; both GeoNames points inside; population 11,504 + 7,609 -> 19,576"
0646109172,CR-Oulad Aafif,06.461.09.21.,Oulad Sghir,,"absorbed; GeoNames point inside; Oulad Sghir 6,774 -> 13,866 alone, 13,944 -> 13,866 with it"
1029109012,CR-Ain Johra,04.291.09.02.,Ain Johra -Sidi Boukhalkhal,,"merged; population 10,148 + 7,200 -> 17,307"
1029109152,CR-Sidi Boukhalkhal,04.291.09.02.,Ain Johra -Sidi Boukhalkhal,,"merged; GeoNames point inside; population 10,148 + 7,200 -> 17,307"
1306103032,CR-Ain Karma,03.061.03.02.,Ain Karma- Oued Rommane,,"merged with its centre and Oued Rommane; GeoNames point inside; population 15,814 -> 13,828"
1306103033,AC-Ain Karma,03.061.03.02.,Ain Karma- Oued Rommane,,centre of Ain Karma
1306103112,CR-Oued Rommane,03.061.03.02.,Ain Karma- Oued Rommane,,merged with Ain Karma
1306107032,CR-Karmet Ben Salem,03.061.07.09.,Oualili,,"absorbed; GeoNames point inside; Oualili 6,149 -> 9,735 alone, 10,329 -> 9,735 with it"
1651103092,CR-Lkhaloua,01.511.03.15.,Had Al Gharbia,,"renamed; GeoNames point inside; population 12,946 -> 12,073"
1651181032,CR-Boukhalef,01.511.81.05.,HJAR ENNHAL,,"renamed, part to Gueznaia; GeoNames point inside; population 15,389 -> 9,792"
1118105012,CR-Moulay Abdallah,06.181.05.01.,My Abdellah,,"same commune; with its three centres 45,780 -> 74,671 (Jorf Lasfar)"
1118105013,AC-Moulay Abdallah,06.181.05.01.,My Abdellah,,centre of Moulay Abdallah
1118105014,AC-Oulad Ghadbane,06.181.05.01.,My Abdellah,,centre of Moulay Abdallah; GeoNames point inside
1118105015,AC-Sidi Bouzid,06.181.05.01.,My Abdellah,,centre of Moulay Abdallah; GeoNames point inside
0838103092,CR-Driouch,02.167.03.09.,Mtalssa,,"rural remainder once the centre became Driouch (Mun.); GeoNames puts Driouch's rural point in Mtalssa; population 18,164 -> 16,787, centre 10,381 -> 14,741"
0704109092,CR-Tahannaout,07.041.09.13.,Aghouatim,,"rural remainder once the centre became Tahannaout (Mun.); population 22,970 -> 30,745, centre 6,582 -> 11,623"
0719109172,CR-Sidi Bou Othmane,07.427.09.06.,Jbilate,,"rural remainder once the centre became Sidi Bou Othmane (Mun.); population 12,426 -> 11,234, centre 5,066 -> 9,181"
1330105133,AC-Amalou Ighriben,05.301.01.01.,Khenifra (Mun.),,"suburb absorbed by Khenifra; GeoNames point inside; left with its rural commune it would cut Moha Ou Hammou Zayani from 10,728 (2004) -> 9,286 to 39,661 -> 9,286"
0838105013,AC-Jaadar,02.381.01.09.,Zeghanghane (Mun.),,"absorbed; GeoNames point inside; Bni Bouifrour 7,593 -> 6,418 without it, Zeghanghane 29,631 -> 34,025 with it"
0838105112,CR-Farkhana,02.381.01.03.,Bni Ansar (Mun.),,"absorbed with its centre; GeoNames point inside; Bni Ansar 31,800 -> 55,556 alone, 52,229 -> 55,556 with them"
0838105113,AC-Farkhana,02.381.01.03.,Bni Ansar (Mun.),,centre of Farkhana
0611103092,CR-Moualine El Ghaba,06.111.01.01.,Benslimane (Mun.),,"absorbed; GeoNames point inside; Benslimane 45,195 -> 56,138 alone, 53,380 -> 56,138 with it"
1143103012,CR-Bouguedra,07.431.03.01.,Bouguedra,,"split: Chahda (same cercle) was carved from the rural commune; Bouguedra 21,700 -> 16,014 alone, 26,384 with Chahda"
1143103012,CR-Bouguedra,07.431.03.02.,Chahda,,split from Bouguedra (population above)
0646105332,CR-Soualem,06.117.05.33.,Soualem Trifiya,,"rural remainder once the centre became Had Soualem (Mun.); keeps its commune number (05.33); 15,973 -> 33,079"
0646105333,AC-Soualem,06.117.01.09.,Had Soualem (Mun.),,"centre of Soualem, a municipality by 2014; 3,243 -> 36,765 (Casablanca's periphery; its rural remainder is Soualem Trifiya)"
0646108032,CR-Deroua,06.117.01.05.,Deroua (Mun.),0.4525,"HCP Monographie Berrechid (2018) tab. 41: 2004 population on 2014 boundaries: Deroua 21,794 = its centre 10,373 + 11,421 of the rural commune"
0646108032,CR-Deroua,06.117.08.20.,Oulad Ziyane,0.5475,"HCP Monographie Berrechid (2018) tab. 41: 2004 population on 2014 boundaries: Oulad Ziyane 14,151, the rest of rural Deroua (13,818); neighbouring polygons"
0646105312,CR-Sidi Rahal Chatai,06.117.01.13.,Sidi Rahal Chatai (Mun.),0.3883,"HCP Monographie Berrechid (2018) tab. 41: 2004 population on 2014 boundaries: 13,687 = its centre 8,140 + 5,547 of the rural commune; where the other 8,739 went is not published"
0646105292,CR-Sidi El Mekki,06.117.05.29.,Sidi El Mekki,0.8157,"HCP Monographie Berrechid (2018) tab. 41: 2004 population on 2014 boundaries: 8,959 of 10,983; where the rest went is not published"
0646103012,CR-Ain Dorbane,06.461.01.01.,Ben Ahmed (Mun.),0.5684,"HCP Série provinciale Settat RGPH 2014 tab. 42: 2004 on 2014 boundaries: Ben Ahmed 28,492 = its 2004 21,360 + 7,132 of Ain Dorbane (abolished 2008, Aujourd'hui le Maroc 25 Jul 2008)"
