unit,name14,prov14,source,evidence,reviewed
01.051.01.09.,Ajdir (Mun.),Al Hoceima,wikidata,"OpenStreetMap Nominatim result 0.0 km from the chosen point, 49.3 km from the other",2026-09-24
03.131.01.01.,Boulemane (Mun.),Boulemane,wikidata,"OpenStreetMap Nominatim result 0.3 km from the chosen point, 32.3 km from the other",2026-09-24
03.131.07.07.,Oulad Ali Youssef,Boulemane,geonames,"OpenStreetMap Nominatim result 1.0 km from the chosen point, 40.0 km from the other",2026-09-24
03.271.81.01.,Dayat Aoua,Ifrane,geonames,"OpenStreetMap Nominatim result 1.7 km from the chosen point, 120.5 km from the other",2026-09-24
04.281.03.13.,Sidi Taibi,Kénitra,geonames,"OpenStreetMap Nominatim result 4.8 km from the chosen point, 286.3 km from the other",2026-09-24
04.281.05.07.,Mnasra,Kénitra,geonames,"OpenStreetMap Nominatim result 2.1 km from the chosen point, 102.9 km from the other",2026-09-24
04.291.09.19.,Ait Ali ou Lahcen,Khémisset,wikidata,"OpenStreetMap Nominatim result 2.4 km from the chosen point, 119.4 km from the other",2026-09-24
05.081.13.09.,Anzou,Azilal,geonames,"OpenStreetMap Nominatim result 2.3 km from the chosen point, 137.7 km from the other",2026-09-24
06.111.03.13.,Oulad Ali Toualaa,Benslimane,geonames,"OpenStreetMap Nominatim result 2.8 km from the chosen point, 108.5 km from the other",2026-09-24
06.181.09.03.,Chaibate,El Jadida,geonames,"OpenStreetMap Nominatim result 1.7 km from the chosen point, 163.8 km from the other",2026-09-24
06.461.03.33.,Sidi Hajjaj,Settat,geonames,"OpenStreetMap Nominatim result 5.7 km from the chosen point, 21.6 km from the other",2026-09-24
06.467.07.01.,Bni Hilal,Sidi Bennour,geonames,"OpenStreetMap Nominatim result 1.0 km from the chosen point, 31.0 km from the other",2026-09-24
07.041.03.19.,Tamazouzte,Al  Haouz,geonames,"OpenStreetMap Nominatim result 0.7 km from the chosen point, 57.9 km from the other",2026-09-24
07.041.05.17.,Sidi Badhaj,Al  Haouz,geonames,"OpenStreetMap Nominatim result 0.6 km from the chosen point, 78.1 km from the other",2026-09-24
07.161.09.11.,Sidi Abdelmoumen,Chichaoua,geonames,"OpenStreetMap Nominatim result 0.9 km from the chosen point, 32.0 km from the other",2026-09-24
07.211.05.47.,Targante,Essaouira,geonames,"OpenStreetMap Nominatim result 0.4 km from the chosen point, 87.8 km from the other",2026-09-24
07.431.09.03.,Dar Si Aissa,Safi,geonames,"OpenStreetMap Nominatim result 1.5 km from the chosen point, 30.1 km from the other",2026-09-24
07.431.09.15.,Saadla,Safi,geonames,"OpenStreetMap Nominatim result 0.4 km from the chosen point, 29.4 km from the other",2026-09-24
08.201.01.01.,Arfoud (Mun.),Errachidia,wikidata,"OpenStreetMap Nominatim result 0.4 km from the chosen point, 27.1 km from the other",2026-09-24
08.363.15.07.,Imilchil,Midelt,geonames,"OpenStreetMap Nominatim result 83.5 km from the chosen point, 106.0 km from the other",2026-09-24
08.401.03.05.,Iznaguen,Ouarzazate,wikidata,"OpenStreetMap Nominatim result 0.3 km from the chosen point, 132.4 km from the other",2026-09-24
08.587.01.01.,Agdz (Mun.),Zagora,wikidata,"OpenStreetMap Nominatim result 1.3 km from the chosen point, 37.3 km from the other",2026-09-24
09.551.05.05.,Allougoum,Tata,geonames,"OpenStreetMap Nominatim result 26.1 km from the chosen point, 44.2 km from the other",2026-09-24
09.551.07.05.,Oum El Guerdane,Tata,geonames,"OpenStreetMap Nominatim result 2.4 km from the chosen point, 33.0 km from the other",2026-09-24
10.521.05.03.,Ben Khlil,Tan-Tan,geonames,"OpenStreetMap Nominatim result 3.8 km from the chosen point, 53.5 km from the other",2026-09-24
10.521.05.05.,Chbika,Tan-Tan,geonames,"OpenStreetMap Nominatim result 2.0 km from the chosen point, 28.7 km from the other",2026-09-24
11.121.03.03.,Jraifia,Boujdour,wikidata,"OpenStreetMap Nominatim result 0.0 km from the chosen point, 71.7 km from the other",2026-09-24
11.221.01.01.,Es-semara (Mun.),Es-Semara,wikidata,"OpenStreetMap Nominatim result 0.1 km from the chosen point, 106.4 km from the other",2026-09-24
11.221.03.01.,Amgala,Es-Semara,wikidata,"OpenStreetMap Nominatim result 38.6 km from the chosen point, 179.7 km from the other",2026-09-24
11.221.03.05.,Jdiriya,Es-Semara,wikidata,"OpenStreetMap Nominatim result 0.3 km from the chosen point, 63.3 km from the other",2026-09-24
11.221.03.07.,Sidi Ahmed Laaroussi,Es-Semara,wikidata,"OpenStreetMap Nominatim result 2.0 km from the chosen point, 34.9 km from the other",2026-09-24
11.321.03.05.,Foum El Oued,Laâyoune,wikidata,"OpenStreetMap Nominatim result 0.0 km from the chosen point, 28.2 km from the other",2026-09-24
11.537.03.05.,El Hagounia,Tarfaya,wikidata,"OpenStreetMap Nominatim result 0.1 km from the chosen point, 29.6 km from the other",2026-09-24
12.391.09.01.,El Argoub,Oued Ed-Dahab,wikidata,"OpenStreetMap Nominatim result 7.2 km from the chosen point, 66.7 km from the other",2026-09-24
12.391.09.03.,Imlili,Oued Ed-Dahab,wikidata,"OpenStreetMap Nominatim result 1.9 km from the chosen point, 80.6 km from the other",2026-09-24
