page,region,label,taux_pauvrete,vulnerabilite,severite,inegalite,idh,ids
16,OUED ED DAHAB-LAGOUIRA,Aousserd Zoug,13.28,17.68,1.46,38.93,0.622,0.966
16,OUED ED DAHAB-LAGOUIRA,Aousserd Tichla,11.35,16.22,1.47,35.99,0.667,0.964
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Mijik,9.73,12.03,0.99,37.19,0.675,1.0
16,OUED ED DAHAB-LAGOUIRA,Aousserd Aghouinite,8.0,10.66,1.01,25.37,0.698,1.0
16,OUED ED DAHAB-LAGOUIRA,Aousserd Aousserd,5.73,7.98,0.63,45.22,0.588,0.773
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Bir Anzarane,3.9,6.21,0.41,38.1,0.713,0.938
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Dakhla (M),3.07,5.19,0.37,44.19,0.743,
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Gleibat El Foula,2.39,4.42,0.29,30.19,0.724,0.949
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Oum Dreyga,1.5,4.03,0.12,33.06,0.647,0.967
16,OUED ED DAHAB-LAGOUIRA,Aousserd Lagouira (M),0.95,1.65,0.08,35.73,0.74,
16,OUED ED DAHAB-LAGOUIRA,Aousserd Bir Gandouz,0.09,0.24,0.01,35.37,0.794,0.322
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab Imlili,0.04,0.26,0.0,33.82,0.772,0.352
16,OUED ED DAHAB-LAGOUIRA,Oued-Ed-Dahab El Argoub,0.03,0.21,0.0,35.48,0.814,0.493
16,OUED ED DAHAB-LAGOUIRA,"Notation : Dans ce tableau et les tableaux suivants, le signe - indique que la commune urbaine ou celui-ci étant, par définition, spécifique au monde rural. communaux de de la Laayoune Tah",42.96,27.06,6.26,33.07,0.552,0.168
16,OUED ED DAHAB-LAGOUIRA,Laayoune Akhfennir,15.09,18.04,1.76,41.18,0.635,0.534
16,OUED ED DAHAB-LAGOUIRA,Laayoune Tarfaya (M),8.1,11.53,1.08,43.13,0.676,
16,OUED ED DAHAB-LAGOUIRA,Laayoune Boukraa,7.58,11.12,0.79,42.14,0.684,0.902
16,OUED ED DAHAB-LAGOUIRA,Laayoune Laayoune (M),6.29,9.17,0.84,42.03,0.712,
