app_code,milieu04,population04,pct_female,age_0_4,age_5_9,age_10_14,isf,birth_rate,infant_mortality,hh_size_avg,n_households,pct_no_education,pct_illiterate,pct_no_lang_written,pct_women_divorced,pct_migrant_since99,activity_rate,pct_agriculture,pct_owner,pct_renter,pct_electricity,pct_water,pct_cellphone,pct_tv,pct_slum,age_15_19,age_20_24,age_75plus,age_60plus,age_65plus,pct_single,pct_married,pct_divorced,pct_widowed,edu_primary,edu_lower_secondary,edu_upper_secondary,edu_higher,lang_darija,lang_tachelhit,lang_tamazight,lang_tarifit,lang_hassania,lit_arabic_only,lit_arabic_french,pct_employer,pct_self_employed,pct_public_employee,pct_private_employee,pct_family_worker,pct_apprentice,sec_industry,sec_utilities,sec_construction,sec_trade,sec_transport,sec_services,sec_public,sec_other,dwell_villa,dwell_apartment,dwell_moroccan,dwell_rural,dwell_other,dwell_age_lt10,pct_kitchen,pct_toilet,road_distance,pct_landline,pct_satellite
0106601031,urban,3726.0,48.2,13.1,14.0,12.1,3.6,26.8,30.0,5.0,684.0,67.8,39.0,51.1,4.3478260869565215,8.6,35.5,29.2,70.3,5.7,98.1,28.2,48.2,89.2,70.3,11.4,9.2,1.3,4.9,3.3,34.3,59.6,2.6,3.4,14.5,5.3,3.5,1.9,94.8,0.6,0.1,0.0,14.9,26.8,18.8,3.8,24.4,12.0,51.7,2.8,5.4,7.5,0.1,18.1,19.3,4.9,6.2,14.6,0.0,0.6,1.8,25.200000000000003,0.0,2.0,89.5,99.0,97.5,,5.6,24.1
0106603032,rural,222.0,54.1,10.4,12.6,12.6,0.8,9.0,,5.0,43.0,44.9,4.0,28.7,8.974358974358974,2.5,32.6,17.6,46.5,20.9,100.0,88.4,62.8,88.4,14.0,11.7,8.6,1.8,7.2,4.5,42.7,48.3,5.6,3.5,20.4,12.2,10.2,3.1,67.8,3.0,0.0,0.0,83.9,22.2,43.3,0.0,17.6,62.7,17.6,0.0,2.0,5.9,0.0,0.0,11.8,2.0,2.0,54.9,5.9,0.0,2.3,81.4,0.0,2.3,,100.0,97.7,,27.9,65.1
0106603052,rural,976.0,45.9,7.0,7.6,6.6,2.5,18.4,111.1,4.0,225.0,41.0,13.0,33.6,7.462686567164179,20.3,56.3,29.4,17.8,15.6,65.3,36.9,57.3,40.4,4.4,10.3,11.1,2.7,8.8,6.4,47.4,43.0,5.1,4.5,19.4,13.4,10.3,4.5,58.9,3.2,1.2,0.0,85.6,23.5,30.3,3.0,17.3,49.4,27.9,2.4,0.0,1.5,0.9,2.1,13.0,2.7,3.9,44.8,1.5,0.0,8.4,60.0,0.9,9.8,,74.2,75.6,0.4,17.3,32.9
0106603072,rural,469.0,44.3,8.1,10.4,10.4,2.8,23.5,,5.0,102.0,37.5,18.0,34.0,8.280254777070065,6.3,50.9,37.1,37.3,16.7,72.5,65.7,53.9,72.5,10.8,7.0,9.4,2.1,6.8,5.7,39.9,49.5,6.0,4.5,19.1,18.0,9.4,3.9,57.5,2.1,0.7,0.0,81.4,24.6,29.3,1.2,19.2,44.9,34.7,0.0,0.0,3.6,0.0,2.4,2.4,2.4,7.8,41.9,2.4,0.0,7.8,54.9,0.0,2.9,,73.5,76.5,,15.7,41.2
0106603092,rural,833.0,50.3,11.6,12.0,13.7,2.6,20.4,,6.0,149.0,51.8,21.0,37.4,9.23076923076923,4.6,35.1,18.3,64.4,11.4,95.3,60.4,61.1,96.6,37.6,11.6,8.4,0.9,4.9,3.1,39.8,51.9,5.2,3.1,16.1,9.6,9.9,4.2,83.2,1.8,0.1,0.0,47.6,23.1,29.2,1.6,19.9,41.4,35.1,0.5,1.6,5.2,0.5,8.4,14.1,6.3,4.7,38.7,3.7,1.3,2.0,53.0,0.7,5.4,,98.0,97.3,,17.4,43.6
0106605032,rural,1463.0,13.7,3.1,3.1,2.6,3.1,6.8,,5.0,298.0,36.1,33.0,37.3,8.571428571428571,42.0,88.5,69.5,9.4,6.4,21.1,20.5,17.8,22.8,15.1,11.0,20.7,0.8,2.9,1.8,66.3,30.8,1.6,1.3,28.5,11.8,7.2,2.5,88.5,37.5,1.1,0.4,21.8,30.7,26.2,9.4,25.7,5.0,59.4,0.3,0.3,3.6,0.1,4.3,3.0,3.9,9.5,5.1,0.9,0.7,3.7,19.1,0.3,56.4,,31.2,34.9,15.8,8.4,20.1
0139101011,urban,55618.0,45.7,13.8,11.6,9.2,3.6,30.5,33.5,4.0,13715.0,41.2,24.0,32.9,6.302810289791576,23.4,46.0,21.1,42.5,38.3,83.7,65.8,69.6,83.1,31.3,8.5,9.6,1.4,3.3,2.5,34.7,59.4,3.4,2.5,20.4,13.0,13.3,6.8,91.7,12.5,6.2,0.6,17.2,21.4,34.1,3.9,19.1,33.3,41.3,1.2,1.2,7.1,0.5,7.2,16.5,5.1,8.4,33.7,0.6,0.4,10.5,51.8,0.1,6.0,56.0,90.2,96.1,,10.1,37.4
0139105012,rural,1273.0,44.1,7.6,10.2,9.3,2.1,14.1,,5.0,262.0,42.8,16.0,31.5,4.433497536945813,2.2,50.8,41.9,28.6,8.0,66.0,61.1,40.1,60.3,5.3,11.0,10.4,1.9000000000000001,7.5,5.7,50.9,42.4,2.7,4.0,22.0,11.2,6.3,2.9,49.8,2.6,0.0,0.0,85.3,25.2,33.2,9.0,11.9,41.4,37.3,0.2,0.2,2.2,0.5,1.9,3.9,4.4,3.6,38.3,3.4,0.0,2.7,58.099999999999994,0.0,6.1,,65.6,66.0,15.0,21.8,42.4
0139105032,rural,275.0,49.5,9.1,12.4,12.0,0.4,3.6,,7.0,42.0,46.1,10.0,31.5,13.186813186813186,8.0,39.3,6.5,42.9,4.8,92.9,90.5,78.6,97.6,7.1,12.7,12.0,1.1,4.0,3.3000000000000003,48.1,42.6,6.6,2.7,16.5,9.6,8.7,5.2,70.8,9.6,3.6,0.0,78.4,19.4,38.4,1.6,6.5,51.6,38.7,0.0,1.6,6.5,0.0,12.9,4.8,3.2,6.5,53.2,6.5,0.0,0.0,73.80000000000001,0.0,19.0,,97.6,97.6,,33.3,76.2
0139105052,rural,519.0,49.3,10.8,11.2,8.9,2.3,21.2,,6.0,92.0,46.8,14.0,33.3,6.077348066298343,12.3,40.0,10.4,77.2,6.5,97.8,57.6,62.0,94.6,41.3,11.4,10.0,1.4,6.6,4.7,46.0,45.7,3.3,5.0,16.9,14.1,9.7,4.0,78.6,4.1,1.9,0.2,59.6,22.0,29.6,0.7,19.3,44.4,31.1,2.2,2.2,9.6,1.5,5.2,18.5,5.2,5.2,43.7,0.7,0.0,3.3,48.9,0.0,6.5,,98.9,97.8,,27.2,53.3
0139105072,rural,404.0,52.2,11.9,8.9,10.1,2.4,19.8,125.0,5.0,78.0,32.4,7.0,24.4,8.49673202614379,6.2,44.8,3.9,38.5,7.7,96.2,92.3,62.8,87.2,3.8,10.9,11.6,1.5,5.9,4.0,47.3,45.2,4.7,2.9,22.3,11.7,11.7,6.9,65.7,0.8,0.3,0.0,91.9,24.1,35.6,1.0,6.9,76.5,13.7,1.0,1.0,2.9,0.0,0.0,8.8,3.9,3.9,73.5,2.9,1.3,2.6,89.7,0.0,2.6,,96.2,96.2,,33.3,64.1
0139109012,rural,5020.0,13.8,3.9,3.2,2.2,3.9,11.4,70.2,5.0,1012.0,73.8,66.0,70.5,5.856832971800434,14.5,87.0,88.6,55.2,4.5,17.4,18.2,79.2,31.3,57.4,3.3,13.8,0.6,2.0,1.4,48.2,50.1,1.0,0.7,8.2,9.9,4.0,1.1,41.4,4.9,3.9,0.1,12.4,8.3,17.9,12.0,2.0,7.1,78.5,0.2,0.1,0.9,0.0,0.5,1.1,0.2,1.1,6.7,0.8,0.2,0.8,23.2,2.2,14.2,,34.5,42.3,0.4,4.0,15.2
0139109032,rural,2269.0,10.8,1.6,2.0,2.2,2.3,4.4,,5.0,474.0,87.6,90.0,86.8,5.434782608695652,2.2,90.0,90.2,11.4,1.9,16.9,16.9,20.5,16.5,81.2,8.1,27.3,0.6,1.9,1.4,63.2,14.1,0.7,22.0,4.2,2.5,2.8,1.0,37.5,0.9,0.4,0.0,18.6,4.9,6.1,9.9,43.6,5.4,40.8,0.0,0.3,0.2,0.3,0.4,1.7,0.3,0.9,4.7,1.4,0.2,1.3,15.6,0.0,1.7,,19.0,19.4,6.8,7.2,14.3
0212101011,urban,36731.0,47.1,12.5,11.8,11.2,3.1,25.9,35.8,4.0,8416.0,55.6,24.0,39.5,4.39207775536402,19.5,41.9,24.6,64.9,22.2,92.9,36.0,67.1,84.1,46.0,9.9,9.8,1.2,3.8,2.7,37.6,57.2,2.4,2.8,17.3,8.5,7.4,5.0,90.8,14.7,1.7,0.3,24.7,23.7,28.7,5.3,26.2,32.5,33.5,1.5,1.0,5.199999999999999,0.6,8.6,16.0,4.0,7.3,33.3,0.4,0.2,1.2,48.1,0.0,4.5,51.8,90.9,92.5,,8.1,35.9
0212103012,rural,512.0,30.3,2.7,7.0,8.8,1.5,7.8,250.0,5.0,95.0,58.8,44.0,49.8,1.7857142857142858,5.2,69.6,74.0,1.1,4.2,0.0,0.0,7.4,4.2,1.1,11.1,13.9,1.0,8.4,3.7,59.5,38.1,0.7,1.7,16.3,8.3,3.5,0.7,19.1,3.4,0.0,0.0,84.5,25.3,16.2,10.4,11.9,13.7,45.7,14.6,3.6,0.0,0.0,0.0,5.7,0.9,2.4,7.2,9.9,0.0,0.0,1.1,0.0,9.5,,2.1,1.1,1.6,0.0,3.2
0212103032,rural,1353.0,22.1,2.0,3.3,3.4,1.3,5.2,142.9,4.0,380.0,56.9,34.0,48.5,1.25,27.0,84.9,87.8,31.1,0.3,0.0,0.0,22.9,1.6,47.1,10.1,19.0,1.6,6.1,4.1,61.4,34.2,1.9,2.5,20.8,7.1,5.8,0.8,73.8,12.2,0.6,0.1,45.3,30.2,17.5,10.5,15.9,0.8,56.6,14.2,1.9,0.7,0.0,0.1,5.5,0.2,4.3,0.6,0.8,0.0,0.0,0.5,0.5,19.5,,14.2,2.1,0.5,0.0,1.3
0212103052,rural,1102.0,30.3,3.7,5.3,6.7,1.9,7.3,,4.0,292.0,59.5,36.0,48.8,5.220883534136546,24.7,78.7,86.9,43.2,0.0,0.0,0.0,40.1,3.4,51.0,12.8,15.5,3.4,8.1,6.4,57.7,36.8,2.0,3.4,17.2,8.9,2.9,1.1,53.3,24.1,2.5,0.0,54.2,31.8,16.6,8.4,15.2,1.6,55.9,18.7,0.1,0.7,0.0,1.3,2.6,0.0,2.9,2.1,3.4,0.0,0.0,4.3999999999999995,0.3,9.2,,10.6,8.2,0.1,0.0,2.7
0232101011,urban,10229.0,36.3,10.4,8.0,6.6,2.9,22.7,12.9,4.0,2850.0,40.6,21.0,32.5,8.809135399673735,41.5,63.7,32.1,17.1,59.9,92.8,0.1,73.7,65.3,3.6,7.5,13.3,0.8999999999999999,2.2,1.7,44.0,50.5,3.5,1.9,27.9,14.4,7.6,3.2,90.5,33.7,5.3,1.2,12.5,22.6,37.4,3.0,16.9,6.4,72.2,1.0,0.5,19.599999999999998,0.5,10.4,13.5,4.9,6.6,9.4,3.0,0.1,15.5,60.5,0.0,20.2,51.2,73.1,87.0,,7.3,44.2
0232101031,urban,179542.0,49.0,10.4,10.6,10.8,2.5,22.9,48.4,5.0,37545.0,39.5,11.0,26.5,5.958311811653365,13.4,42.6,1.9,33.6,45.6,95.1,76.9,75.9,89.3,13.0,10.3,10.0,1.6,4.7,3.3,42.4,50.5,3.5,3.6,20.0,14.0,14.2,6.9,81.8,11.4,3.3,0.4,43.0,18.4,40.8,2.0,19.8,45.5,30.2,1.4,1.1,10.3,1.0,8.8,16.9,5.2,8.7,44.8,2.5,0.7,25.5,56.900000000000006,0.1,3.9,24.6,94.7,96.4,,16.8,55.5
0232101051,urban,5615.0,44.8,11.9,10.6,9.9,3.1,24.6,50.7,4.0,1328.0,51.9,20.0,36.5,4.321363359707852,23.9,43.3,35.4,41.0,48.6,94.0,87.0,69.8,80.1,0.5,8.8,11.5,1.7,4.5,3.7,41.0,53.0,2.5,3.5,20.5,11.2,8.2,4.5,91.2,14.5,2.2,0.1,29.4,19.2,34.8,5.1,20.3,27.0,43.5,0.5,3.6,4.1,0.8,6.8,11.2,4.4,5.8,28.9,2.5,0.3,2.9,90.89999999999999,0.0,5.4,26.4,93.0,92.7,,9.9,45.0
0232103012,rural,2519.0,48.9,9.8,10.2,10.1,2.8,22.2,,5.0,505.0,54.4,19.0,39.4,4.137931034482759,12.6,45.1,36.2,25.0,30.7,68.1,50.7,58.4,65.3,11.3,10.6,9.5,3.0,8.3,6.2,44.2,50.1,2.4,3.3,17.9,10.8,8.0,2.7,86.5,9.4,2.0,0.4,51.0,18.3,31.6,4.8,27.8,23.1,27.7,14.1,2.5,10.8,0.5,5.5,14.5,2.0,6.0,19.0,5.6,0.0,10.5,49.099999999999994,0.0,3.0,,67.3,68.9,0.1,10.1,44.4
0232103032,rural,1745.0,50.1,7.0,9.1,11.2,1.6,14.3,80.0,6.0,313.0,52.3,18.0,35.8,4.889589905362776,8.8,44.5,32.9,34.8,36.7,67.1,61.7,58.1,67.4,6.1,11.3,12.5,3.0999999999999996,7.3,5.6,49.7,43.5,2.9,3.9,17.6,11.5,9.6,3.5,65.4,6.8,1.0,0.3,67.2,19.5,35.2,4.7,21.3,30.1,29.2,13.5,1.2,5.1,0.8,5.3,11.0,4.5,8.6,26.6,5.1,0.0,9.3,62.7,1.0,3.2,,77.0,70.9,5.4,19.8,44.1
0232103052,rural,1419.0,35.9,9.2,7.7,6.6,4.2,29.6,47.6,4.0,325.0,47.1,31.0,39.5,4.2979942693409745,32.1,61.7,64.4,39.4,6.5,56.6,1.5,62.5,44.9,16.6,11.1,16.1,2.4,5.4,4.1,55.7,38.3,2.3,3.7,22.6,11.2,8.7,3.1,58.2,26.6,2.7,0.2,41.3,16.8,35.7,2.4,8.5,19.7,66.0,3.0,0.4,1.2,0.0,1.8,3.5,1.1,8.1,17.3,2.6,1.2,0.0,41.2,10.2,28.3,,55.7,59.1,1.3,8.0,33.8
0232105012,rural,1575.0,42.9,9.7,10.0,9.6,3.4,23.5,,5.0,343.0,56.7,34.0,45.3,4.366812227074236,18.9,50.1,30.5,52.8,21.6,62.7,0.0,50.7,46.4,7.6,10.5,11.4,1.9000000000000001,6.0,5.0,45.6,48.9,2.1,3.5,18.8,7.2,4.8,2.0,55.9,15.9,0.4,0.1,53.9,18.7,33.1,1.1,48.6,14.4,27.6,8.2,0.2,12.7,0.2,5.7,12.8,1.9,16.7,14.6,5.0,0.3,1.7,58.0,0.3,21.3,,63.6,57.1,0.8,2.0,42.6
0232105032,rural,876.0,46.3,8.8,7.9,6.8,1.5,13.7,83.3,5.0,192.0,51.8,19.0,39.9,3.5256410256410255,18.1,54.3,48.2,35.4,7.3,50.0,0.0,44.3,44.8,22.4,7.9,10.4,2.8,10.6,8.1,48.5,41.8,2.2,7.5,19.4,10.0,4.1,2.7,20.5,7.6,0.6,0.0,81.4,27.4,26.8,3.7,22.5,40.3,27.6,5.6,0.3,0.8999999999999999,1.1,4.8,0.8,2.0,2.8,38.9,0.6,0.0,0.0,30.7,32.8,6.3,,75.5,59.4,6.1,8.9,39.1
0232105052,rural,1089.0,51.1,7.5,9.0,11.9,1.6,12.9,,6.0,180.0,42.3,8.0,26.1,5.063291139240507,8.8,41.4,9.8,27.8,33.3,89.4,76.1,72.2,85.6,10.6,11.9,11.4,1.5,6.2,4.0,51.9,42.5,3.0,2.7,17.0,14.3,14.1,5.9,75.7,8.8,2.4,0.2,60.1,19.3,41.0,2.5,16.8,43.5,25.3,6.7,5.3,9.8,1.4,5.6,9.8,4.6,8.8,38.9,11.2,5.6,20.0,52.800000000000004,0.0,2.2,,86.1,88.3,2.0,28.9,66.7
0232105072,rural,1255.0,47.6,10.1,9.4,9.2,3.7,29.5,,5.0,242.0,64.0,32.0,50.0,4.5893719806763285,14.4,49.4,49.6,60.7,1.7,0.0,0.0,45.0,27.3,48.3,8.6,10.1,2.1,7.4,5.3,44.1,48.9,2.5,4.6,16.7,8.0,3.3,1.8,62.2,3.6,0.4,0.3,70.7,24.6,21.1,0.3,42.6,33.3,12.5,8.5,2.8,1.6,1.5,7.8,2.8,4.5,3.3,25.3,3.8,0.0,0.0,30.6,10.3,7.4,,83.9,46.7,9.9,0.8,22.3
