code24,name24,population24,age_0_4,age_5_9,age_10_14,pct_illiterate,pct_no_education,activity_rate,unemployment_rate,pct_women_divorced,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75plus,pct_disability,pct_single,pct_married,pct_divorced,pct_widowed,age_first_marriage,completed_fertility,school_enrolment,pct_illiterate_15plus,edu_preschool,edu_primary,edu_lower_secondary,edu_upper_secondary,edu_higher,lang_darija,lang_tachelhit,lang_tamazight,lang_tarifit,lang_hassania,read_arabic,read_tifinagh,read_english,read_french,pct_employer,pct_self_employed,pct_public_employee,pct_private_employee,pct_family_worker,pct_apprentice,pct_partner,pct_status_other,pct_female,isf,pop_active_occupee,n_households,hh_size_avg,pct_owner,pct_renter,pct_electricity,pct_water,dwell_villa,dwell_apartment,dwell_moroccan,dwell_rural,dwell_other,persons_per_room,tenure_other,dwell_age_lt10,dwell_age_10_19,dwell_age_20_49,dwell_age_50plus,pct_kitchen,pct_toilet,pct_bathroom,sewer_public,sewer_septic,sewer_other,waste_bin,waste_truck,cook_gas,cook_electricity,cook_charcoal,cook_wood,cook_other,road_distance,pct_slum,age_60plus,age_65plus,waste_other,is_urban,pop_share
1511010,Commune de Tanger,1272718,8.3,9.2,8.6,14.5,26.3,52.1,15.3,5.0,7.4,8.5,9.1,9.2,8.2,7.1,5.7,4.8,3.8,3.7,2.6,1.8,2.0,3.7,36.8,56.1,3.4,3.7,29.0,2.7,95.9,16.0,1.4,25.8,19.6,14.4,12.5,98.4,2.5,1.4,4.6,0.1,99.3,1.0,21.4,54.5,2.7,16.6,8.0,67.3,0.6,0.6,2.1,2.1,49.4,1.89,414399.0,362062,3.5,46.5,43.4,99.4,98.8,1.5,25.6,71.7,0.1,0.7,1.4,10.1,24.8,35.7,35.5,4.0,98.7,99.8,73.7,99.2,0.5,0.2,90.1,9.2,99.3,0.6,0.0,0.0,0.1,,0.4,10.100000000000001,6.4,0.7,1,3.4877977174992867
15110101,Commune d'Assilah,33975,7.3,8.6,8.4,16.0,24.2,45.2,21.4,5.4,7.2,7.3,7.0,7.6,7.4,6.9,5.7,5.8,5.1,5.3,4.0,2.9,3.4,4.7,34.7,54.8,4.2,6.3,29.5,2.4,96.5,17.6,1.8,29.6,19.5,12.6,12.4,98.9,2.3,0.7,3.8,0.1,99.6,0.8,20.6,57.4,3.1,28.9,16.0,45.5,1.7,0.6,1.8,2.3,49.8,1.56,9134.0,9745,3.5,66.4,19.4,87.3,82.0,0.8,9.2,77.1,0.2,0.7,1.3,14.2,22.4,30.9,35.8,11.0,98.7,99.6,68.3,92.6,6.0,1.4,68.9,28.9,99.7,0.2,0.0,0.0,0.1,,12.0,15.600000000000001,10.3,2.0999999999999996,1,0.09310619277172025
15110109,Commune de Gueznaia,88673,10.9,11.5,9.7,12.9,27.2,55.2,12.5,4.4,7.0,7.5,8.6,9.9,9.7,7.8,5.4,3.8,2.4,2.3,1.5,0.9,0.9,2.6,30.7,63.6,3.1,2.6,27.0,2.6,97.1,14.5,1.5,26.8,19.6,13.9,11.0,98.4,4.0,2.3,3.5,0.1,99.6,1.8,21.8,55.9,1.9,13.6,8.7,68.8,0.6,0.5,2.2,3.6,48.6,2.37,29055.0,25039,3.5,56.6,35.7,97.9,93.9,0.8,45.3,52.6,0.1,0.9,1.3,7.7,72.2,24.7,2.6,0.5,98.4,99.6,84.7,97.4,1.9,0.8,96.3,2.6,99.5,0.4,0.0,0.1,0.1,,0.3,5.6000000000000005,3.3,1.0,1,0.24300236737738778
15110519,Commune de Hjar Ennhal,25301,11.1,12.0,11.2,21.2,33.9,48.1,17.6,2.3,7.5,7.1,7.0,8.1,8.8,7.7,5.4,4.3,2.8,2.8,1.8,1.2,1.3,3.8,28.8,66.9,1.6,2.7,26.8,3.3,97.8,24.7,1.3,31.8,20.9,8.2,3.9,98.4,3.0,1.2,3.1,0.0,99.8,0.5,4.7,32.0,4.4,14.6,4.0,70.7,0.7,0.8,1.3,3.3,47.8,2.36,6584.0,6048,4.2,81.5,11.7,86.3,68.1,1.6,0.2,91.7,5.0,1.4,2.1,6.9,54.5,25.8,13.6,6.0,98.5,99.4,61.6,53.3,35.1,11.6,46.7,1.4,99.2,0.4,0.2,0.0,0.1,0.6,0.2,7.1,4.3,51.900000000000006,0,0.06933568162817642
15110507,Commune de Dar Chaoui,4469,7.3,8.4,10.2,30.0,44.0,38.5,20.1,1.2,9.4,8.1,7.2,6.8,7.0,6.1,6.1,4.9,4.5,5.1,3.3,2.3,3.4,3.8,39.8,53.4,1.1,5.8,30.7,3.6,97.9,34.1,1.7,29.3,14.5,6.8,3.6,99.9,0.8,0.1,0.9,0.0,99.8,0.1,8.2,37.7,0.5,36.6,10.7,46.6,3.2,0.1,2.4,0.0,46.8,2.25,1020.0,1078,4.1,74.6,3.8,97.9,37.8,0.6,0.0,34.7,63.6,0.6,1.6,21.6,14.4,20.3,18.5,46.8,96.8,98.2,16.4,20.1,29.3,50.6,18.3,0.5,89.7,0.1,0.6,9.4,0.2,0.5,0.5,14.1,9.0,81.3,0,0.01224699265627131
15110501,Commune d'Al Manzla,2680,7.7,10.0,9.6,37.3,46.3,45.7,24.3,1.1,7.6,8.5,7.5,6.3,5.7,6.2,5.9,5.7,4.5,4.2,3.3,2.8,4.4,12.5,36.6,57.2,1.4,4.7,30.5,4.0,98.8,42.0,3.1,31.6,13.2,2.9,2.9,99.7,0.2,0.1,0.1,0.1,99.9,0.1,5.7,34.0,0.4,37.4,8.2,37.1,5.6,0.1,10.7,0.4,45.6,3.11,674.0,629,4.3,92.1,0.2,92.7,69.5,0.2,0.0,15.6,83.5,0.5,1.8,7.8,13.7,15.1,20.3,50.9,91.3,97.5,19.4,0.2,2.4,97.5,0.0,0.0,82.0,0.0,9.2,8.4,0.3,1.4,0.3,14.700000000000001,10.5,100.0,0,0.007344358988321127
15110517,Commune de Laaouama,19052,10.5,12.3,10.8,22.4,37.5,44.9,13.0,2.1,7.8,7.1,6.8,8.2,8.7,7.2,5.8,4.3,3.2,2.9,1.7,1.0,1.7,2.7,29.2,66.7,1.7,2.4,26.0,3.5,96.8,25.9,2.3,31.9,17.5,7.1,3.7,99.0,1.4,1.8,4.3,0.0,99.7,0.6,5.5,33.2,0.8,23.4,5.7,66.7,1.6,0.8,0.8,0.4,47.7,2.38,4954.0,4618,4.1,79.8,8.9,96.6,95.2,0.5,1.0,95.4,1.5,0.6,1.7,11.3,75.9,14.7,7.6,1.8,99.1,100.0,65.8,9.5,85.8,4.7,43.5,10.9,99.9,0.0,0.0,0.0,0.1,0.6,0.9,7.3,4.4,45.6,0,0.05221071919607989
15110505,Commune de Sebt Azzinate,7263,10.3,11.2,10.5,31.7,42.7,43.7,24.6,1.4,8.8,7.0,7.3,7.3,7.9,7.0,5.4,4.2,3.4,3.3,2.1,1.7,2.4,3.6,33.2,61.6,1.3,4.0,28.4,4.1,98.1,36.3,1.1,32.8,15.9,5.0,2.5,99.7,0.3,0.4,2.2,0.0,99.9,0.1,5.5,41.1,0.3,24.7,4.9,65.4,3.6,0.5,0.4,0.1,46.6,3.22,1626.0,1729,4.2,92.8,1.7,97.8,75.9,0.2,0.0,67.8,29.7,0.8,1.7,5.6,38.6,24.2,17.2,20.0,98.3,98.8,38.3,2.4,78.0,19.6,0.6,0.1,99.3,0.3,0.1,0.2,0.2,1.2,1.6,9.5,6.199999999999999,99.30000000000001,0,0.01990376094484192
15110303,Commune d'Aquouass Briech,4627,7.7,8.9,9.2,30.7,35.8,41.0,22.3,3.0,6.7,6.6,5.8,6.4,7.9,7.8,6.5,6.3,4.2,4.5,3.5,3.3,4.8,5.4,33.0,58.2,2.4,6.3,30.3,2.8,90.1,34.3,2.2,29.0,19.0,8.1,5.9,99.3,0.8,0.2,1.7,0.1,99.2,0.3,13.0,60.6,1.6,27.7,6.8,54.4,0.8,0.0,7.7,1.0,48.4,2.43,1093.0,1190,3.9,79.4,3.5,92.1,60.6,2.0,0.8,20.4,75.4,0.9,1.4,17.0,16.9,21.4,46.4,15.3,97.7,99.2,35.2,25.4,73.4,1.2,15.2,0.8,99.2,0.2,0.2,0.3,0.1,1.0,0.4,16.1,11.6,84.0,0,0.01267998098468726
15110315,Commune de Had Al Gharbia,12835,8.1,9.1,8.8,34.8,39.5,57.0,13.9,3.0,7.4,7.1,6.2,6.5,7.0,6.6,6.4,5.7,5.3,5.0,3.8,2.9,4.1,10.0,36.0,55.1,2.4,6.4,28.7,2.3,95.7,38.6,2.4,29.7,16.8,6.7,4.8,99.0,0.5,0.6,0.9,0.1,99.6,0.2,10.0,36.8,1.5,34.4,5.2,39.7,17.4,0.0,1.5,0.4,48.1,2.55,4657.0,3084,4.2,82.0,2.6,96.8,60.7,0.5,1.1,20.4,76.5,1.0,1.6,15.3,16.0,11.0,27.2,45.8,95.6,96.3,40.9,2.4,56.7,40.9,14.1,6.6,97.5,0.4,1.3,0.7,0.2,0.9,0.5,15.8,10.799999999999999,79.30000000000001,0,0.03517345060264987
