code14,app_code,link,weight
01.051.01.01.,1505101011,exact,1.0
01.051.01.03.,1505101031,exact,1.0
01.051.01.05.,1505101051,exact,1.0
01.051.01.07.,1505101071,exact,1.0
01.051.01.09.,1505105033,exact,1.0
01.051.03.01.,1505103012,exact,1.0
01.051.03.03.,1505103032,exact,1.0
01.051.03.05.,1505103052,exact,1.0
01.051.03.07.,1505103072,exact,1.0
01.051.05.01.,1505105012,exact,1.0
01.051.05.03.,1505105032,exact,1.0
01.051.05.05.,1505105052,exact,1.0
01.051.05.07.,1505105072,exact,1.0
01.051.05.09.,1505105092,exact,1.0
01.051.05.11.,1505105112,exact,1.0
01.051.05.13.,1505105132,exact,1.0
01.051.05.15.,1505105152,exact,1.0
01.051.05.17.,1505105172,exact,1.0
01.051.05.19.,1505105192,exact,1.0
01.051.05.21.,1505105212,exact,1.0
01.051.05.23.,1505105232,exact,1.0
01.051.05.25.,1505105252,exact,1.0
01.051.07.03.,1505107032,exact,1.0
01.051.07.05.,1505107052,exact,1.0
01.051.07.07.,1505107072,exact,1.0
01.051.07.11.,1505107112,exact,1.0
01.051.07.19.,1505107192,exact,1.0
01.051.07.21.,1505107212,exact,1.0
01.051.07.27.,1505107272,exact,1.0
01.051.09.01.,1505107012,exact,1.0
01.051.09.09.,1505107092,exact,1.0
01.051.09.13.,1505107132,exact,1.0
01.051.09.15.,1505107152,exact,1.0
01.051.09.17.,1505107172,exact,1.0
01.051.09.23.,1505107232,exact,1.0
01.051.09.25.,1505107252,exact,1.0
01.151.01.01.,1615101011,exact,1.0
01.151.03.03.,1615103032,exact,1.0
01.151.03.13.,1615103132,exact,1.0
01.151.03.23.,1615103232,exact,1.0
01.151.05.01.,1615105012,exact,1.0
01.151.05.03.,1615105032,exact,1.0
01.151.05.05.,1615105052,exact,1.0
01.151.05.07.,1615105072,exact,1.0
01.151.05.09.,1615105092,exact,1.0
01.151.05.11.,1615105112,exact,1.0
01.151.05.13.,1615105132,exact,1.0
01.151.05.15.,1615105152,exact,1.0
01.151.06.05.,1615103052,exact,1.0
01.151.06.07.,1615103072,exact,1.0
01.151.06.15.,1615103152,exact,1.0
01.151.06.21.,1615103212,exact,1.0
01.151.07.01.,1615107012,exact,1.0
01.151.07.03.,1615107032,exact,1.0
01.151.07.05.,1615107052,exact,1.0
01.151.07.07.,1615107072,exact,1.0
01.151.07.09.,1615107092,exact,1.0
01.151.07.11.,1615107112,exact,1.0
01.151.07.13.,1615107132,exact,1.0
01.151.09.01.,1615103012,exact,1.0
01.151.09.09.,1615103092,exact,1.0
01.151.09.11.,1615103112,exact,1.0
01.151.09.17.,1615103172,exact,1.0
01.151.09.19.,1615103192,exact,1.0
01.227.03.05.,1622703052,exact,1.0
01.227.03.11.,1622703112,exact,1.0
01.227.03.13.,1622703132,exact,1.0
01.227.05.01.,1622705012,exact,1.0
01.227.05.05.,1622705052,exact,1.0
01.227.05.09.,1622705092,exact,1.0
01.331.01.01.,1633101011,exact,1.0
01.331.01.03.,1633101031,exact,1.0
01.331.07.01.,1633103012,exact,1.0
01.331.07.03.,1633103032,exact,1.0
01.331.07.05.,1633103052,exact,1.0
01.331.07.11.,1633103112,exact,1.0
01.331.07.15.,1633103152,exact,1.0
01.331.07.17.,1633103172,exact,1.0
01.331.09.01.,1633105012,exact,1.0
01.331.09.03.,1633105032,exact,1.0
01.331.09.05.,1633105052,exact,1.0
