code14,name14,prov14,unit,name_carto,code24,code24_commune,name24,label04,idh04,src04
01.051.01.01.,Al Hoceima (Mun.),Al Hoceima,01.051.01.01.,Al Hoceima (M),10510101,10510101,Commune d'Al Hoceima,Al Hoceima Al Hoceima (M),0.737,direct
01.051.01.03.,Bni Bouayach (Mun.),Al Hoceima,01.051.01.03.,Bni Bouayach (M),10510103,10510103,Commune de Bni Bouayach,Al Hoceima Bni Bouayach (M),0.708,direct
01.051.01.05.,Imzouren (Mun.),Al Hoceima,01.051.01.05.,Imzouren (M),10510105,10510105,Commune d'Imzouren,Al Hoceima Imzouren (M),0.68,direct
01.051.01.07.,Targuist (Mun.),Al Hoceima,01.051.01.07.,Targuist (M),10510107,10510107,Commune de Targuist,Al Hoceima Targuist (M),0.69,direct
01.051.01.09.,Ajdir (Mun.),Al Hoceima,01.051.01.09.,Ajdir  (M),10510109,10510109,Commune d'Ajdir,Al Hoceima Ajdir (AC),0.691,direct
01.051.03.01.,Bni Boufrah,Al Hoceima,01.051.03.01.,Bni Boufrah,10510301,10510301,Commune de Bni Boufrah,Al Hoceima Bni Boufrah,0.573,direct
01.051.03.03.,Bni Gmil,Al Hoceima,01.051.03.03.,Bni Gmil,10510303,10510303,Commune de Bni Gmil,Al Hoceima Bni Gmil,0.566,direct
01.051.03.05.,Bni Gmil Maksouline,Al Hoceima,01.051.03.05.,Bni Gmil Maksouline,10510305,10510305,Commune de Bni Gmil Maksouline,Al Hoceima Bni Gmil Maksouline,0.471,direct
01.051.03.07.,Senada,Al Hoceima,01.051.03.07.,Senada,10510307,10510307,Commune de Senada,Al Hoceima Senada,0.538,direct
01.051.05.01.,Ait Kamra,Al Hoceima,01.051.05.01.,Ait Kamra,10511101,10511101,Commune d'Ait Kamra,Al Hoceima Ait Kamra,0.52,direct
01.051.05.03.,Ait Youssef Ou Ali,Al Hoceima,01.051.05.03.,Ait Youssef Ou Ali,10511303,10511303,Commune d'Ait Youssef Ou Ali,Al Hoceima Ait Youssef Ou Ali,0.622,direct
01.051.05.05.,Arbaa Taourirt,Al Hoceima,01.051.05.05.,Arbaa Taourirt,10511305,10511305,Commune d'Arbaa Taourirt,Al Hoceima Arbaa Taourirt,0.501,direct
01.051.05.07.,Bni Abdallah,Al Hoceima,01.051.05.07.,,10511107,10511107,Commune de Bni Abdellah,Al Hoceima Bni Abdallah,0.518,direct
01.051.05.09.,Bni Hadifa,Al Hoceima,01.051.05.09.,Bni Hadifa,10511109,10511109,Commune de Bni Hadifa,Al Hoceima Bni Hadifa,0.6,direct
01.051.05.11.,Chakrane,Al Hoceima,01.051.05.11.,Chakrane,10511311,10511311,Commune de Chakrane,Al Hoceima Chakrane,0.461,direct
01.051.05.13.,Imrabten,Al Hoceima,01.051.05.13.,Imrabten,10511313,10511313,Commune d'Imrabten,Al Hoceima Imrabten,0.523,direct
01.051.05.15.,Izemmouren,Al Hoceima,01.051.05.15.,Izemmouren,10511115,10511115,Commune d'Izemmouren,Al Hoceima Izemmouren,0.544,direct
01.051.05.17.,Louta,Al Hoceima,01.051.05.17.,Louta,10511317,10511317,Commune de Louta,Al Hoceima Louta,0.511,direct
01.051.05.19.,Nekkour,Al Hoceima,01.051.05.19.,Nekkour,10511319,10511319,Commune de Nekkour,Al Hoceima Nekkour,0.576,direct
01.051.05.21.,Rouadi,Al Hoceima,01.051.05.21.,Rouadi,10511121,10511121,Commune de Rouadi,Al Hoceima Rouadi,0.568,direct
01.051.05.23.,Tifarouine,Al Hoceima,01.051.05.23.,Tifarouine,10511323,10511323,Commune de Tifarouine,Al Hoceima Tifarouine,0.528,direct
01.051.05.25.,Zaouiat Sidi Abdelkader,Al Hoceima,01.051.05.25.,Zaouiat Sidi Abdelkader,10511125,10511125,Commune de Zaouiat Sidi Abdelkader,Al Hoceima Zaouiat Sidi Abdelkader,0.496,direct
01.051.07.03.,Bni Ahmed Imoukzan,Al Hoceima,01.051.07.03.,Bni Ahmed Imoukzan,10510703,10510703,Commune de Bni Ahmed Imoukzan,Al Hoceima Bni Ahmed Imoukzan,0.525,direct
01.051.07.05.,Bni Ammart,Al Hoceima,01.051.07.05.,Bni Ammart,10510705,10510705,Commune de Bni Ammart,Al Hoceima Bni Ammart,0.57,direct
01.051.07.07.,Bni Bchir,Al Hoceima,01.051.07.07.,Bni Bchir,10510707,10510707,Commune de Bni Bchir,Al Hoceima Bni Bchir,0.519,direct
01.051.07.11.,Bni Bounsar,Al Hoceima,01.051.07.11.,Bni Bounsar,10510711,10510711,Commune de Bni Bounsar,Al Hoceima Bni Bounsar,0.537,direct
01.051.07.19.,Sidi Boutmim,Al Hoceima,01.051.07.19.,Sidi Boutmim,10510719,10510719,Commune de Sidi Boutmim,Al Hoceima Sidi Boutmim,0.566,direct
01.051.07.21.,Sidi Bouzineb,Al Hoceima,01.051.07.21.,Sidi Bouzineb,10510721,10510721,Commune de Sidi Bouzineb,Al Hoceima Sidi Bouzineb,0.494,direct
01.051.07.27.,Zarkt,Al Hoceima,01.051.07.27.,Zarkt,10510727,10510727,Commune de Zarkt,Al Hoceima Zarkt,0.554,direct
01.051.09.01.,Abdelghaya Souahel,Al Hoceima,01.051.09.01.,Abdelghaya Souahel,10510901,10510901,Commune d'Abdelghaya Souahel,Al Hoceima Abdelghaya Souahel,0.576,direct
01.051.09.09.,Bni Bouchibet,Al Hoceima,01.051.09.09.,Bni Bouchibet,10510909,10510909,Commune de Bni Bouchibet,Al Hoceima Bni Bouchibet,0.496,direct
01.051.09.13.,Issaguen,Al Hoceima,01.051.09.13.,Issaguen,10510913,10510913,Commune d'Issaguen,Al Hoceima Issaguen (AC),0.664,direct
01.051.09.15.,Ketama,Al Hoceima,01.051.09.15.,Ketama,10510915,10510915,Commune de Ketama,Al Hoceima Ketama,0.61,direct
01.051.09.17.,Moulay Ahmed Cherif,Al Hoceima,01.051.09.17.,Moulay Ahmed Cherif,10510917,10510917,Commune de Moulay Ahmed Cherif,Al Hoceima Moulay Ahmed Cherif,0.564,direct
01.051.09.23.,Taghzout,Al Hoceima,01.051.09.23.,Taghzout,10510923,10510923,Commune de Taghzout,Al Hoceima Taghzout,0.547,direct
01.051.09.25.,Tamsaout,Al Hoceima,01.051.09.25.,Tamsaout,10510925,10510925,Commune de Tamsaout,Al Hoceima Tamsaout,0.5,direct
01.151.01.01.,Chefchaouen (Mun.),Chefchaouen,01.151.01.01.,Chefchaouen (M),11510101,11510101,Commune de Chefchaouen,Chefchaouen Chefchaouen (M),0.705,direct
01.151.03.03.,Bab Berred,Chefchaouen,01.151.03.03.,Bab Berred,11510303,11510303,Commune de Bab Berred,Chefchaouen Bab Berred (AC),0.663,direct
01.151.03.13.,Iounane,Chefchaouen,01.151.03.13.,Iounane,11510313,11510313,Commune d'Iounane,Chefchaouen Iounane,0.526,direct
01.151.03.23.,Tamorot,Chefchaouen,01.151.03.23.,Tamorot,11510323,11510323,Commune de Tamorot,Chefchaouen Tamorot,0.538,direct
01.151.05.01.,Bab Taza,Chefchaouen,01.151.05.01.,Bab Taza,11510501,11510501,Commune de Bab Taza,Chefchaouen Bab Taza,0.564,direct
01.151.05.03.,Bni Darkoul,Chefchaouen,01.151.05.03.,Bni Darkoul,11510503,11510503,Commune de Bni Darkoul,Chefchaouen Bni Darkoul,0.607,direct
01.151.05.05.,Bni Faghloum,Chefchaouen,01.151.05.05.,Bni Faghloum,11510505,11510505,Commune de Bni Faghloum,Chefchaouen Bni Faghloum,0.556,direct
01.151.05.07.,Bni Salah,Chefchaouen,01.151.05.07.,Bni Salah,11510507,11510507,Commune de Bni Salah,Chefchaouen Bni Salah,0.434,direct
01.151.05.09.,Derdara,Chefchaouen,01.151.05.09.,Derdara,11510509,11510509,Commune de Derdara,Chefchaouen Derdara,0.511,direct
01.151.05.11.,Fifi,Chefchaouen,01.151.05.11.,Fifi,11510511,11510511,Commune de Fifi,Chefchaouen Fifi,0.551,direct
01.151.05.13.,Laghdir,Chefchaouen,01.151.05.13.,Laghdir,11510513,11510513,Commune de Laghdir,Chefchaouen Laghdir,0.546,direct
01.151.05.15.,Tanaqoub,Chefchaouen,01.151.05.15.,Tanaqoub,11510515,11510515,Commune de Tanaqoub,Chefchaouen Tanaqoub,0.546,direct
01.151.06.05.,Bni Ahmed Cherqia,Chefchaouen,01.151.06.05.,Bni Ahmed Cherqia,11510605,11510605,Commune de Bni Ahmed Cherqia,Chefchaouen Bni Ahmed Cherqia,0.523,direct
01.151.06.07.,Bni Ahmed Gharbia,Chefchaouen,01.151.06.07.,Bni Ahmed Gharbia,11510607,11510607,Commune de Bni Ahmed Gharbia,Chefchaouen Bni Ahmed Gharbia,0.51,direct
01.151.06.15.,Mansoura,Chefchaouen,01.151.06.15.,Mansoura,11510615,11510615,Commune de Mansoura,Chefchaouen Mansoura,0.49,direct
01.151.06.21.,Oued Malha,Chefchaouen,01.151.06.21.,Oued Malha,11510621,11510621,Commune d'Oued Malha,Chefchaouen Oued Malha,0.507,direct
01.151.07.01.,Bni Bouzra,Chefchaouen,01.151.07.01.,Bni Bouzra,11510701,11510701,Commune de Bni Bouzra,Chefchaouen Bni Bouzra,0.526,direct
01.151.07.03.,Bni Mansour,Chefchaouen,01.151.07.03.,Bni Mansour,11511103,11511103,Commune de Bni Mansour,Chefchaouen Bni Mansour,0.434,direct
01.151.07.05.,Bni Selmane,Chefchaouen,01.151.07.05.,Bni Selmane,11511105,11511105,Commune de Bni Selmane,Chefchaouen Bni Selmane,0.433,direct
01.151.07.07.,Steha,Chefchaouen,01.151.07.07.,Steha,11510707,11510707,Commune de Steha,Chefchaouen Steha,0.521,direct
01.151.07.09.,Talambote,Chefchaouen,01.151.07.09.,Talambote,11510709,11510709,Commune de Talambote,Chefchaouen Talambote,0.453,direct
01.151.07.11.,Tassift,Chefchaouen,01.151.07.11.,Tassift,11510711,11510711,Commune de Tassift,Chefchaouen Tassift,0.491,direct
01.151.07.13.,Tizgane,Chefchaouen,01.151.07.13.,Tizgane,11510713,11510713,Commune de Tizgane,Chefchaouen Tizgane,0.536,direct
