unit,name14,prov14,geonameid,qid,km,flag,chosen,decided_by
01.051.01.01.,Al Hoceima (Mun.),Al Hoceima,6546170,Q310350,1.56,False,geonames,agree
01.051.01.05.,Imzouren (Mun.),Al Hoceima,6547071,Q2719983,0.18,False,geonames,agree
01.051.01.07.,Targuist (Mun.),Al Hoceima,6547072,Q2544562,0.97,False,geonames,agree
01.051.01.09.,Ajdir (Mun.),Al Hoceima,11911326,Q412703,49.28,True,wikidata,review
01.051.03.01.,Bni Boufrah,Al Hoceima,6546357,Q4930995,3.73,False,geonames,agree
01.051.03.03.,Bni Gmil,Al Hoceima,6546358,Q1942317,3.96,False,geonames,agree
01.051.03.05.,Bni Gmil Maksouline,Al Hoceima,6546359,Q4931002,2.0,False,geonames,agree
01.051.03.07.,Senada,Al Hoceima,6545436,Q628903,1.03,False,geonames,agree
01.051.05.01.,Ait Kamra,Al Hoceima,6545437,Q4699248,2.14,False,geonames,agree
01.051.05.03.,Ait Youssef Ou Ali,Al Hoceima,11911116,Q4699275,3.03,False,geonames,agree
01.051.05.05.,Arbaa Taourirt,Al Hoceima,11911110,Q4784591,11.13,False,geonames,agree
01.051.05.07.,Bni Abdallah,Al Hoceima,6546171,Q4930986,1.98,False,geonames,agree
01.051.05.09.,Bni Hadifa,Al Hoceima,6546356,Q2907469,5.56,False,geonames,agree
01.051.05.11.,Chakrane,Al Hoceima,6545820,Q5068404,4.55,False,geonames,agree
01.051.05.13.,Imrabten,Al Hoceima,6546172,Q3149563,2.91,False,geonames,agree
01.051.05.15.,Izemmouren,Al Hoceima,11911113,Q6101904,2.35,False,geonames,agree
01.051.05.17.,Louta,Al Hoceima,6545822,Q6689834,0.0,False,geonames,agree
01.051.05.19.,Nekkour,Al Hoceima,11911111,Q6989822,1.38,False,geonames,agree
01.051.05.21.,Rouadi,Al Hoceima,6545810,Q7370731,4.36,False,geonames,agree
01.051.05.23.,Tifarouine,Al Hoceima,6545811,Q7801163,7.41,False,geonames,agree
01.051.07.03.,Bni Ahmed Imoukzan,Al Hoceima,6546173,Q4930989,2.71,False,geonames,agree
01.051.07.05.,Bni Ammart,Al Hoceima,6547073,Q4930990,3.79,False,geonames,agree
01.051.07.07.,Bni Bchir,Al Hoceima,6547074,Q4930993,1.94,False,geonames,agree
01.051.07.11.,Bni Bounsar,Al Hoceima,6547076,Q2907468,2.87,False,geonames,agree
01.051.07.19.,Sidi Boutmim,Al Hoceima,6547078,Q7508696,2.86,False,geonames,agree
01.051.07.21.,Sidi Bouzineb,Al Hoceima,6547079,Q7508700,0.98,False,geonames,agree
01.051.07.27.,Zarkt,Al Hoceima,6545785,Q8066828,4.18,False,geonames,agree
