unit,name14,prov14,lon,lat,pt_src,source_id,feature,source_name,match
01.051.01.01.,Al Hoceima (Mun.),Al Hoceima,-3.943,35.23587,geonames,6546170,ADM3,Al Hoceima,exact
01.051.01.03.,Bni Bouayach (Mun.),Al Hoceima,-3.85033,35.10559,geonames,6547070,ADM3,Bni Bouayach,exact
01.051.01.05.,Imzouren (Mun.),Al Hoceima,-3.85048,35.1448,geonames,6547071,ADM3,Imzouren,exact
01.051.01.07.,Targuist (Mun.),Al Hoceima,-4.33101,34.93904,geonames,6547072,ADM3,Targuist,exact
01.051.03.01.,Bni Boufrah,Al Hoceima,-4.32061,35.06761,geonames,6546357,ADM3,Bni Boufrah,exact
01.051.03.03.,Bni Gmil,Al Hoceima,-4.4241,35.06739,geonames,6546358,ADM3,Bni Gmil,exact
01.051.03.05.,Bni Gmil Maksouline,Al Hoceima,-4.45659,35.02119,geonames,6546359,ADM3,Bni Gmil Maksouline,exact
01.051.03.07.,Senada,Al Hoceima,-4.2043,35.08251,geonames,6545436,ADM3,Senada,exact
01.051.05.01.,Ait Kamra,Al Hoceima,-4.01115,35.14407,geonames,6545437,ADM3,Ait Kamra,exact
01.051.05.03.,Ait Youssef Ou Ali,Al Hoceima,-3.88858,35.14991,geonames,11911116,ADM4,Ait Youssef Ou Ali,exact
01.051.05.05.,Arbaa Taourirt,Al Hoceima,-3.95501,34.91222,geonames,11911110,ADM4,Arbaa Taourirt,exact
01.051.05.07.,Bni Abdallah,Al Hoceima,-4.0601,35.0375,geonames,6546171,ADM3,Bni Abdallah,exact
01.051.05.09.,Bni Hadifa,Al Hoceima,-4.19278,34.9986,geonames,6546356,ADM3,Bni Hadifa,exact
01.051.05.11.,Chakrane,Al Hoceima,-3.98867,34.91318,geonames,6545820,ADM3,Chakrane,exact
01.051.05.13.,Imrabten,Al Hoceima,-3.98674,35.04643,geonames,6546172,ADM3,Imrabten,exact
01.051.05.15.,Izemmouren,Al Hoceima,-4.00486,35.16688,geonames,11911113,ADM4,Izemmouren,exact
01.051.05.17.,Louta,Al Hoceima,-3.89924,35.10709,geonames,6545822,ADM3,Louta,exact
01.051.05.19.,Nekkour,Al Hoceima,-3.87714,35.01899,geonames,11911111,ADM4,Nekkour,exact
01.051.05.21.,Rouadi,Al Hoceima,-4.17843,35.15613,geonames,6545810,ADM3,Rouadi,exact
01.051.05.23.,Tifarouine,Al Hoceima,-3.91732,35.02365,geonames,6545811,ADM3,Tifarouine,exact
01.051.07.03.,Bni Ahmed Imoukzan,Al Hoceima,-4.44166,34.76418,geonames,6546173,ADM3,Bni Ahmed Imoukzan,exact
01.051.07.05.,Bni Ammart,Al Hoceima,-4.19928,34.80874,geonames,6547073,ADM3,Bni Ammart,exact
01.051.07.07.,Bni Bchir,Al Hoceima,-4.33668,34.778,geonames,6547074,ADM3,Bni Bchir,exact
01.051.07.11.,Bni Bounsar,Al Hoceima,-4.4439,34.86375,geonames,6547076,ADM3,Bni Bounsar,exact
01.051.07.19.,Sidi Boutmim,Al Hoceima,-4.27099,34.9257,geonames,6547078,ADM3,Sidi Boutmim,exact
01.051.07.21.,Sidi Bouzineb,Al Hoceima,-4.09534,34.82038,geonames,6547079,ADM3,Sidi Bouzineb,exact
01.051.07.27.,Zarkt,Al Hoceima,-4.35156,34.89599,geonames,6545785,ADM3,Zarkt,exact
01.051.09.01.,Abdelghaya Souahel,Al Hoceima,-4.65177,34.79096,geonames,6546454,ADM3,Abdelghaya Souahel,exact
01.051.09.09.,Bni Bouchibet,Al Hoceima,-4.50809,34.70711,geonames,6547075,ADM3,Bni Bouchibet,exact
01.051.09.13.,Issaguen,Al Hoceima,-4.52417,34.9175,geonames,11911123,ADM4,Issaguen,exact
01.051.09.15.,Ketama,Al Hoceima,-4.68416,34.88163,geonames,6546174,ADM3,Ketama,exact
01.051.09.17.,Moulay Ahmed Cherif,Al Hoceima,-4.47276,34.92733,geonames,6547077,ADM3,Moulay Ahmed Cherif,exact
01.051.09.23.,Taghzout,Al Hoceima,-4.54964,34.76409,geonames,6547080,ADM3,Taghzout,exact
01.051.09.25.,Tamsaout,Al Hoceima,-4.75124,34.8223,geonames,6547081,ADM3,Tamsaout,exact
01.151.01.01.,Chefchaouen (Mun.),Chefchaouen,-5.27151,35.1674,geonames,6545557,ADM3,Chefchaouen,exact
01.151.03.03.,Bab Berred,Chefchaouen,-4.93074,34.98906,geonames,6546142,ADM3,Bab Berred,exact
01.151.03.13.,Iounane,Chefchaouen,-4.82472,35.03407,geonames,6546952,ADM3,Iounane,exact
01.151.03.23.,Tamorot,Chefchaouen,-4.81506,34.90381,geonames,6545794,ADM3,Tamorot,exact
01.151.05.01.,Bab Taza,Chefchaouen,-5.20605,35.06047,geonames,11911074,ADM4,Bab Taza,exact
01.151.05.03.,Bni Darkoul,Chefchaouen,-5.08222,35.0418,geonames,11911075,ADM4,Bni Darkoul,exact
01.151.05.05.,Bni Faghloum,Chefchaouen,-5.14244,34.90502,geonames,6545562,ADM3,Bni Faghloum,exact
01.151.05.07.,Bni Salah,Chefchaouen,-5.06534,34.98903,geonames,6545563,ADM3,Bni Salah,exact
01.151.05.09.,Derdara,Chefchaouen,-5.33421,35.1414,geonames,11911082,ADM4,Derdara,exact
01.151.05.11.,Fifi,Chefchaouen,-5.19141,34.93241,geonames,11911079,ADM4,Fifi,exact
01.151.05.13.,Laghdir,Chefchaouen,-5.39212,35.03713,geonames,6546002,ADM3,Laghdir,exact
01.151.05.15.,Tanaqoub,Chefchaouen,-5.4371,35.11507,geonames,11911083,ADM4,Tanaqoub,exact
01.151.06.05.,Bni Ahmed Cherqia,Chefchaouen,-5.072,34.83766,geonames,6546949,ADM3,Bni Ahmed Cherqia,exact
01.151.06.07.,Bni Ahmed Gharbia,Chefchaouen,-5.1376,34.814,geonames,6546143,ADM3,Bni Ahmed Gharbia,exact
01.151.06.15.,Mansoura,Chefchaouen,-4.9626,34.84335,geonames,6545992,ADM3,Mansoura,exact
01.151.06.21.,Oued Malha,Chefchaouen,-5.02018,34.9151,geonames,6545997,ADM3,Oued Malha,exact
01.151.07.01.,Bni Bouzra,Chefchaouen,-4.89337,35.26992,geonames,6547021,ADM3,Bni Bouzra,exact
01.151.07.03.,Bni Mansour,Chefchaouen,-4.91004,35.15152,geonames,6547022,ADM3,Bni Mansour,exact
01.151.07.05.,Bni Selmane,Chefchaouen,-5.01727,35.16425,geonames,6547023,ADM3,Bni Selmane,exact
01.151.07.07.,Steha,Chefchaouen,-5.0198,35.29567,geonames,6547024,ADM3,Steha,exact
01.151.07.09.,Talambote,Chefchaouen,-5.16038,35.16889,geonames,6546444,ADM3,Talambote,exact
01.151.07.11.,Tassift,Chefchaouen,-5.12881,35.30188,geonames,6546445,ADM3,Tassift,exact
01.151.07.13.,Tizgane,Chefchaouen,-5.04424,35.37009,geonames,6546446,ADM3,Tizgane,exact
01.151.09.01.,Amtar,Chefchaouen,-4.76962,35.18164,geonames,6546141,ADM3,Amtar,exact
