unit,name14,prov14
01.511.03.05.,Sebt Azzinate,Tanger-Assilah
01.511.03.15.,Had Al Gharbia,Tanger-Assilah
02.167.03.09.,Mtalssa,Driouch
02.381.07.07.,Bni Oukil Oulad M'Hand,Nador
02.533.03.17.,Sidi Ali Bel Quassem,Taourirt
03.061.03.02.,Ain Karma- Oued Rommane,Meknès
03.061.07.11.,Sidi Abdallah Al Khayat,Meknès
04.281.05.11.,Sidi Mohamed Ben Mansour,Kénitra
04.291.09.05.,Ait Buyahya El Hajjama,Khémisset
04.291.09.19.,Ait Ali ou Lahcen,Khémisset
04.491.05.11.,Ouled Ben Hammadi,Sidi Slimane
05.091.03.03.,Ouled Gnaou,Béni Mellal
05.255.05.05.,Ouled Bourahmoune,Fquih Ben Salah
05.255.09.01.,Khalfia,Fquih Ben Salah
05.311.05.05.,Bulanouare,Khouribga
06.181.05.01.,My Abdellah,El Jadida
06.181.05.05.,Ouled Ghanem,El Jadida
06.355.03.01.,Al Majjatia Oulad Taleb,Médiouna
06.355.03.05.,Sidi Hajjaj Oued Hassar,Médiouna
06.461.03.02.,Ain Dorbane-Lahlaf,Settat
06.461.09.14.,Mzamza Janoubia,Settat
07.041.09.13.,Aghouatim,Al  Haouz
07.191.05.16.,Laattaouia Ech-chaibia,El Kelâa des  Sraghna
07.427.09.06.,Jbilate,Rehamna
07.431.07.13.,Ouled Salmane,Safi
08.577.05.07.,Ait Sedrate JbelEL Soufla,Tinghir
09.541.09.41.,Sidi Ahmed Ou Abdallah,Taroudannt
09.551.03.03.,Kasbat Sidi Abdellah Ben M'Barek,Tata
