code14,name14,prov14,name_carto,code24,name24,label04,idh04,src04,taux_pauvrete04,vulnerabilite04,severite04,inegalite04,ids04,mpi_rate04c,mpi_idx04c,mpi_int04c,mpi_rate14c,mpi_idx14c,mpi_int14c,pov_glob14c,mpi2014,mpi2024,mpi_intensity2014,mpi_intensity2024,mpi_rate2014,mpi_rate2024,vulnerability2014,vulnerability2024,menages14,population14,level,cercle,src14,src24
01.051.01.01.,Al Hoceima (Mun.),Al Hoceima,Al Hoceima (M),10510101.0,Commune d'Al Hoceima,Al Hoceima Al Hoceima (M),0.737,direct,4.61,7.62,0.44,43.46,,6.94053316116333,2.704106569290161,38.96107864379883,1.8647514581680298,0.6639827489852905,35.60703659057617,2.034862,0.0166325680911541,0.012876411899924278,35.22895812988281,36.23966979980469,4.721277236938477,3.5531260967254634,3.097719430923462,1.5265507698059082,13881.0,56716.0,commune,01.051.01.,,
01.051.01.03.,Bni Bouayach (Mun.),Al Hoceima,Bni Bouayach (M),10510103.0,Commune de Bni Bouayach,Al Hoceima Bni Bouayach (M),0.708,direct,5.27,7.91,0.53,43.77,,16.061172485351562,6.523484706878662,40.616493225097656,3.59684681892395,1.3099626302719116,36.41975402832031,4.101858,0.029693907126784325,0.0234094075858593,36.84707260131836,35.15951156616211,8.058688163757324,6.658058166503907,8.053214073181152,4.330257892608643,4062.0,18271.0,commune,01.051.01.,,
01.051.01.05.,Imzouren (Mun.),Al Hoceima,Imzouren (M),10510105.0,Commune d'Imzouren,Al Hoceima Imzouren (M),0.68,direct,4.66,7.61,0.44,40.73,,13.064594268798828,5.188796043395996,39.716468811035156,3.535066843032837,1.27273690700531,36.00318908691406,4.025561,0.02461211010813713,0.023596851155161858,35.856170654296875,35.5380744934082,6.864120960235596,6.639878749847412,5.422028541564941,2.3090596199035645,7440.0,33852.0,commune,01.051.01.,,
01.051.01.07.,Targuist (Mun.),Al Hoceima,Targuist (M),10510107.0,Commune de Targuist,Al Hoceima Targuist (M),0.69,direct,3.16,5.73,0.25,39.97,,11.58304500579834,4.529988765716553,39.108787536621094,1.9725044965744019,0.703161358833313,35.64814758300781,3.1095800000000002,0.020140135660767555,0.016551176086068153,35.75007629394531,35.315826416015625,5.633592128753662,4.686617374420166,4.161685466766357,2.903735876083374,2969.0,13390.0,commune,01.051.01.,,
01.051.01.09.,Ajdir (Mun.),Al Hoceima,Ajdir  (M),10510109.0,Commune d'Ajdir,Al Hoceima Ajdir (AC),0.691,direct,6.29,12.0,0.58,36.72,,17.1301212310791,7.2997002601623535,42.61324691772461,3.782461643218994,1.3904571533203125,36.760643005371094,4.158828,0.028436418622732162,0.016357365995645523,36.76669692993164,34.46115493774414,7.734286785125732,4.746609687805176,4.7610087394714355,2.4803712368011475,1292.0,5314.0,commune,01.051.01.,,
01.051.03.01.,Bni Boufrah,Al Hoceima,Bni Boufrah,10510301.0,Commune de Bni Boufrah,Al Hoceima Bni Boufrah,0.573,direct,18.01,17.92,2.64,44.29,0.498,43.115169525146484,18.93463706970215,43.916419982910156,13.0632963180542,5.205060005187988,39.84492111206055,13.508725,0.08627715706825256,0.06444577127695084,40.865230560302734,40.30265426635742,21.112607955932617,15.990453720092773,27.99129867553711,21.778043746948242,1875.0,9653.0,commune,01.051.03.,,
01.051.03.03.,Bni Gmil,Al Hoceima,Bni Gmil,10510303.0,Commune de Bni Gmil,Al Hoceima Bni Gmil,0.566,direct,20.93,20.27,3.18,42.74,0.2,55.96659851074219,25.193485260009766,45.01521682739258,23.114151000976562,9.222046852111816,39.89784240722656,24.98681,0.1281781643629074,0.04175824299454689,41.2994384765625,39.92583465576172,31.036296844482422,10.458952903747559,30.036823272705078,27.563024520874023,1444.0,9513.0,commune,01.051.03.,,
01.051.03.05.,Bni Gmil Maksouline,Al Hoceima,Bni Gmil Maksouline,10510305.0,Commune de Bni Gmil Maksouline,Al Hoceima Bni Gmil Maksouline,0.471,direct,33.35,23.35,5.56,42.03,0.147,70.36812591552734,33.0935173034668,47.02912902832031,22.8708438873291,9.493612289428711,41.509674072265625,24.809710000000003,0.13320477306842804,0.06940978765487671,43.184635162353516,40.57716751098633,30.845407485961914,17.105627059936523,34.493900299072266,30.718048095703125,1477.0,9593.0,commune,01.051.03.,,
01.051.03.07.,Senada,Al Hoceima,Senada,10510307.0,Commune de Senada,Al Hoceima Senada,0.538,direct,18.18,17.83,2.72,43.05,0.351,58.61195373535156,26.66891860961914,45.500816345214844,18.014385223388672,7.153322696685791,39.708946228027344,19.5183,0.11003342270851135,0.0791277214884758,41.093475341796875,40.61217498779297,26.7763729095459,19.48374366760254,32.149085998535156,25.97418785095215,1733.0,9176.0,commune,01.051.03.,,
01.051.05.01.,Ait Kamra,Al Hoceima,Ait Kamra,10511101.0,Commune d'Ait Kamra,Al Hoceima Ait Kamra,0.52,direct,21.91,20.42,3.2,41.91,0.493,53.589439392089844,24.592933654785156,45.891380310058594,4.289799690246582,1.605459451675415,37.425045013427734,4.440206,0.03336511179804802,0.023624740540981293,37.23404312133789,35.75882963137257,8.960915565490723,6.606687137964381,8.484271049499512,7.613804319808671,1642.0,7685.0,commune,01.051.05.,,
01.051.05.03.,Ait Youssef Ou Ali,Al Hoceima,Ait Youssef Ou Ali,10511303.0,Commune d'Ait Youssef Ou Ali,Al Hoceima Ait Youssef Ou Ali,0.622,direct,15.76,16.42,2.36,42.2,0.575,23.91537857055664,10.407121658325195,43.516441345214844,4.8053202629089355,1.7727961540222168,36.892364501953125,5.288,0.030462056398391724,0.025041544809937477,36.59200376837065,36.067142536889335,8.32478516022634,6.943035324097785,11.126015684067154,5.537034450605099,2598.0,12673.0,commune,01.051.05.,,
01.051.05.05.,Arbaa Taourirt,Al Hoceima,Arbaa Taourirt,10511305.0,Commune d'Arbaa Taourirt,Al Hoceima Arbaa Taourirt,0.501,direct,11.8,14.97,1.54,42.44,0.208,58.42959213256836,26.22234535217285,44.87853240966797,27.896663665771484,11.334961891174316,40.6319580078125,30.036620000000003,0.14138980209827423,0.0975952222943306,42.07624435424805,38.97651672363281,33.60323715209961,25.039493560791016,26.79776382446289,25.539758682250977,985.0,5187.0,commune,01.051.05.,,
01.051.05.07.,Bni Abdallah,Al Hoceima,,10511107.0,Commune de Bni Abdellah,Al Hoceima Bni Abdallah,0.518,direct,17.81,19.17,2.42,42.73,0.229,,,,,,,,0.11507605016231537,0.08327050507068634,41.803279876708984,40.98628234863281,27.527996063232422,20.31667709350586,23.533344268798828,12.625950813293457,1229.0,5983.0,commune,01.051.05.,,
01.051.05.09.,Bni Hadifa,Al Hoceima,Bni Hadifa,10511109.0,Commune de Bni Hadifa,Al Hoceima Bni Hadifa,0.6,direct,18.42,17.35,2.73,42.37,0.396,54.01921844482422,23.991615295410156,44.41311264038086,12.036225318908691,4.766773700714111,39.60356140136719,14.168868999999999,0.0521598719060421,0.029217343777418137,38.800840884479065,37.01648820455783,13.44297478631176,7.893061971300199,18.50196590498596,12.30638681749566,1193.0,5594.0,commune,01.051.05.,,
01.051.05.11.,Chakrane,Al Hoceima,Chakrane,10511311.0,Commune de Chakrane,Al Hoceima Chakrane,0.461,direct,18.16,19.65,2.54,40.91,0.05,76.20032501220703,35.549320220947266,46.65245056152344,49.17894744873047,20.530994415283203,41.747528076171875,52.58253,0.24217544496059418,0.13610097765922546,43.5073127746582,42.01877975463867,55.66315841674805,32.39051055908203,20.947368621826172,31.20438003540039,819.0,4761.0,commune,01.051.05.,,
01.051.05.13.,Imrabten,Al Hoceima,Imrabten,10511313.0,Commune d'Imrabten,Al Hoceima Imrabten,0.523,direct,34.32,22.73,5.46,43.11,0.336,72.3826675415039,35.16847229003906,48.58686828613281,20.75827980041504,8.499580383300781,40.94549560546875,21.644343000000003,0.09730984270572662,0.06040962040424347,40.51864738617556,38.74893144119618,24.016064522940745,15.59000906586955,17.292025979633518,14.0826868210036,1782.0,8715.0,commune,01.051.05.,,
